Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing. Use only information from the following the text:

Item 1 — Business
DEFINITION OF ABBREVIATIONS AND INDUSTRY TERMS

Xcel Energy Inc.’s Subsidiaries and Affiliates (current and former)
Capital Services | Capital Services, LLC 
Purchased Natural Gas and Conservation Cost-Recovery Mechanisms — PSCo has retail adjustment clauses that recover purchased natural gas and other resource costs:

• | GCA — Recovers the actual costs of purchased natural gas and transportation to meet the requirements of its customers and is revised quarterly to allow for changes in natural gas rates.


• | DSMCA — Recovers costs of DSM and performance initiatives to achieve various energy savings goals.


• | PSIA — Recovers costs associated with transmission and distribution pipeline integrity management programs and two projects to replace large transmission pipelines. The rider has been extended through 2018. 

32

QSP Requirements — The CPUC established a natural gas QSP that provides for bill credits to customers if PSCo does not achieve certain performance targets relating to natural gas leak repair time and customer service. The CPUC has extended the terms of the QSP through 2018.
Capability and Demand
Natural gas supply requirements are categorized as firm or interruptible (customers with an alternate energy supply). The maximum daily send-out (firm and interruptible) for PSCo was 1,932,070 MMBtu, which occurred on Dec. 17, 2016 and 1,633,493 MMBtu, which occurred on March 4, 2015.
PSCo purchases natural gas from independent suppliers, generally based on market indices that reflect current prices. The natural gas is delivered under transportation agreements with interstate pipelines. These agreements provide for firm deliverable pipeline capacity of approximately 1,818,151 MMBtu per day, which includes 854,852 MMBtu of natural gas held under third-party underground storage agreements. In addition, PSCo operates three company-owned underground storage facilities, which provide approximately 43,500 MMBtu of natural gas supplies on a peak day. The balance of the quantities required to meet firm peak day sales obligations are primarily purchased at PSCo’s city gate meter stations.
PSCo is required by CPUC regulations to file a natural gas purchase plan each year projecting and describing the quantities of natural gas supplies, upstream services and the costs of those supplies and services for the 12-month period of the following year. PSCo is also required to file a natural gas purchase report by October of each year reporting actual quantities and costs incurred for natural gas supplies and upstream services for the previous 12-month period.
Natural Gas Supply and Costs
PSCo actively seeks natural gas supply, transportation and storage alternatives to yield a diversified portfolio that provides increased flexibility, decreased interruption and financial risk and economical rates. In addition, PSCo conducts natural gas price hedging activities that have been approved by the CPUC.
The following table summarizes the average delivered cost per MMBtu of natural gas purchased for resale by PSCo’s regulated retail natural gas distribution business:

2016 | $ | 3.27
2015 | 3.92 | 
2014 | 4.91 | 

The cost of natural gas in 2016 decreased due to lower wholesale commodity prices.
PSCo has natural gas supply, transportation and storage agreements that include obligations for the purchase and/or delivery of specified volumes of natural gas or to make payments in lieu of delivery. At Dec. 31, 2016, PSCo was committed to approximately $884 million in such obligations under these contracts, which expire in various years from 2017 through 2029.
PSCo purchases natural gas by optimizing a balance of long-term and short-term natural gas purchases, firm transportation and natural gas storage contracts. During 2016, PSCo purchased natural gas from approximately 32 suppliers.
See Items 1A and 7 for further discussion of natural gas supply and costs.
SPS
Natural Gas Facilities Used for Electric Generation
SPS does not provide retail natural gas service, but purchases and transports natural gas for certain of its generation facilities and operates natural gas pipeline facilities connecting the generation facilities to interstate natural gas pipelines. SPS is subject to the jurisdiction of the FERC with respect to certain natural gas transactions in interstate commerce; and to the jurisdiction of the PHMSA and the PUCT for pipeline safety compliance.
See Items 1A and 7 for further discussion of natural gas supply and costs.
33

Natural Gas Operating Statistics

 | Year Ended Dec. 31
 | 2016 | | 2015 | | 2014
Natural gas deliveries (Thousands of MMBtu) | | | | | 
Residential | 132,853 | | | 135,394 | | | 152,269 
C&I | 84,082 | | | 86,093 | | | 95,879 
Total retail | 216,935 | | | 221,487 | | | 248,148 
Transportation and other | 133,498 | | | 125,263 | | | 124,000 
Total deliveries | 350,433 | | | 346,750 | | | 372,148 
Number of customers at end of period | | | | | 
Residential | 1,835,507 | | | 1,814,321 | | | 1,795,190
C&I | 157,286 | | | 156,306 | | | 155,515 
Total retail | 1,992,793 | | | 1,970,627 | | | 1,950,705
Transportation and other | 7,316 | | | 6,981 | | | 6,594 
Total customers | 2,000,109 | | | 1,977,608 | | | 1,957,299
Natural gas revenues (Thousands of Dollars) | | | | | 
Residential | $ | 929,889 | | | $ | 1,042,884 | | $ | 1,320,207
C&I | 468,977 | | | 547,165 | | | 727,071 
Total retail | 1,398,866 | | | 1,590,049 | | | 2,047,278
Transportation and other | 132,546 | | | 82,032 | | | 95,460 
Total natural gas revenues | $ | 1,531,412 | | | $ | 1,672,081 | | $ | 2,142,738
MMBtu sales per retail customer | 108.86 | | | 112.39 | | | 127.21 
Revenue per retail customer | $ | 702 | | | $ | 807 | | $ | 1,050 
Residential revenue per MMBtu | 7.00 | | | 7.70 | | | 8.67 
C&I revenue per MMBtu | 5.58 | | | 6.36 | | | 7.58 
Transportation and other revenue per MMBtu | 0.99 | | | 0.65 | | | 0.77 

GENERAL
Seasonality
The demand for electric power and natural gas is affected by seasonal differences in the weather. In general, peak sales of electricity occur in the summer months, and peak sales of natural gas occur in the winter months. As a result, the overall operating results may fluctuate substantially on a seasonal basis. Additionally, Xcel Energy’s operations have historically generated less revenues and income when weather conditions are milder in the winter and cooler in the summer. See Item 7 for further discussion.
Competition
Xcel Energy is a vertically integrated utility in all of its jurisdictions, subject to traditional cost-of-service regulation by state public utilities commissions. However, Xcel Energy is subject to different public policies that promote competition and the development of energy markets. Xcel Energy’s industrial and large commercial customers have the ability to own or operate facilities to generate their own electricity. In addition, customers may have the option of substituting other fuels, such as natural gas, steam or chilled water for heating, cooling and manufacturing purposes, or the option of relocating their facilities to a lower cost region. Customers also have the opportunity to supply their own power with solar generation (depending on jurisdiction, rooftop solar or solar gardens) and in most jurisdictions can currently avoid paying for most of the fixed production, transmission and distribution costs incurred to serve them. Several states have policies designed to promote the development of solar and other distributed energy resources through significant incentive policies; with these incentives and federal tax subsidies, distributed generating resources are potential competitors to Xcel Energy’s electric service business.
34

The FERC has continued to promote competitive wholesale markets through open access transmission and other means. As a result, Xcel Energy Inc.’s utility subsidiaries and their wholesale customers can purchase the output from generation resources of competing wholesale suppliers and use the transmission systems of the utility subsidiaries on a comparable basis to serve their native load. State public utilities commissions have created resource planning programs that promote competition in the acquisition of electricity generation resources used to provide service to retail customers. In addition, FERC Order 1000 seeks to establish competition for construction and operation of certain new electric transmission facilities. Xcel Energy Inc.’s utility subsidiaries also have franchise agreements with certain cities subject to periodic renewal. If a city elected not to renew the franchise agreement, it could seek alternative means for its citizens to access electric power or gas, such as municipalization. While each of Xcel Energy Inc.’s utility subsidiaries faces these challenges, Xcel Energy believes their rates and services are competitive with currently available alternatives.
ENVIRONMENTAL MATTERS
Xcel Energy’s facilities are regulated by federal and state environmental agencies. These agencies have jurisdiction over air emissions, water quality, wastewater discharges, solid wastes and hazardous substances. Various company activities require registrations, permits, licenses, inspections and approvals from these agencies. Xcel Energy has received all necessary authorizations for the construction and continued operation of its generation, transmission and distribution systems. Xcel Energy’s facilities have been designed and constructed to operate in compliance with applicable environmental standards. However, it is not possible to determine when or to what extent additional facilities or modifications of existing or planned facilities will be required as a result of changes to environmental regulations, interpretations or enforcement policies or what effect future laws or regulations may have upon Xcel Energy’s operations. See Item 7 and Notes 12 and 13 to the consolidated financial statements for further discussion.
There are significant present and future environmental regulations to encourage the use of clean energy technologies and regulate emissions of GHGs to address climate change. Xcel Energy has undertaken a number of initiatives to meet current requirements and prepare for potential future regulations, reduce GHG emissions and respond to state renewable and energy efficiency goals. If these future environmental regulations do not provide credit for the investments we have already made to reduce GHG emissions, or if they require additional initiatives or emission reductions, then their requirements would potentially impose additional substantial costs. Xcel Energy believes, based on prior state commission practice, it would recover the cost of these initiatives through rates.
Xcel Energy is committed to addressing climate change and potential climate change regulation through efforts to reduce its GHG emissions in a balanced, cost-effective manner. Xcel Energy adopted a methodology for calculating CO2 emissions based on the reporting protocols of The Climate Registry, a nonprofit organization that provides and compiles GHG emissions data from reporting entities. Starting in 2011, Xcel Energy began reporting GHG emissions to the EPA under the EPA’s mandatory GHG Reporting Program.
Based on The Climate Registry’s current reporting protocol, Xcel Energy estimated that its current electric generating portfolio emitted approximately 53.0 million and 56.6 million tons of CO2 in 2016 and 2015, respectively. Xcel Energy also estimated emissions associated with electricity purchased for resale to Xcel Energy customers from generation facilities owned by third parties. Xcel Energy estimates these non-owned facilities emitted approximately 9.0 million and 10.2 million tons of CO2 in 2016 and 2015, respectively. Estimated total CO2 emissions associated with service to Xcel Energy electric customers decreased by 4.9 million tons in 2016 compared to 2015, and this decrease in emissions was associated with an increase of 2.1 million net MWh of generation in 2016 compared to 2015. Since 2012, the average annual decrease in CO2 emissions is approximately 2.8 million tons of CO2 per year.
CAPITAL SPENDING AND FINANCING
See Item 7 for a discussion of expected capital expenditures and funding sources.
EMPLOYEES
As of Dec. 31, 2016, Xcel Energy had 11,440 full-time employees and 72 part-time employees, of which 5,428 were covered under collective-bargaining agreements. See Note 9 to the consolidated financial statements for further discussion.
35

EXECUTIVE OFFICERS
Ben Fowke, 58, Chairman of the Board, President and Chief Executive Officer and Director, Xcel Energy Inc., August 2011 to present. Chief Executive Officer, NSP-Minnesota, NSP-Wisconsin, PSCo, and SPS, January 2015 to present. Previously, President and Chief Operating Officer, Xcel Energy Inc., August 2009 to August 2011.
Christopher B. Clark, 50, President and Director, NSP-Minnesota, January 2015 to present. Previously, Regional Vice President, Rates and Regulatory Affairs, NSP-Minnesota, October 2012 to December 2014; Managing Director, Government and Regulatory Affairs, NSP-Minnesota, January 2012 to October 2012; Managing Attorney, Xcel Energy Inc., November 2007 to January 2012.
David L. Eves, 58, President and Director, PSCo, January 2015 to present. Previously, President, Director and Chief Executive Officer, PSCo, December 2009 to December 2014.
Robert C. Frenzel, 46, Executive Vice President, Chief Financial Officer, Xcel Energy Inc., May 2016 to present.  Previously, Senior Vice President and Chief Financial Officer, Luminant, a subsidiary of Energy Future Holdings Corp., an electric utility and power generation company, February 2012 to April 2016; Senior Vice President for Corporate Development, Strategy and Mergers and Acquisitions, Energy Future Holdings Corp., February 2009 to February 2012.  In April 2014, Energy Future Holdings Corp., the majority of its subsidiaries, including Texas Competitive Energy Holdings (TCEH) the parent company of Luminant, filed a voluntary bankruptcy petition under Chapter 11 of the United States Bankruptcy Code.  TCEH emerged from Chapter 11 in October 2016.  
David T. Hudson, 56, President and Director, SPS, January 2015 to present. Previously, President, Director and Chief Executive Officer, SPS, January 2014 to December 2014; Director, Community Service & Economic Development, SPS, April 2011 to January 2014; Director, Strategic Planning, SPS, May 2008 to April 2011.
Kent T. Larson, 57, Executive Vice President and Group President Operations, Xcel Energy Inc., January 2015 to present. Previously, Senior Vice President, Group President Operations, Xcel Energy Services Inc., August 2014 to December 2014; Senior Vice President Operations, Xcel Energy Services Inc., September 2011 to August 2014; Chief Energy Supply Officer, Xcel Energy Services Inc., March 2010 to September 2011.
Marvin E. McDaniel, Jr., 57, Executive Vice President, Group President, Utilities, and Chief Administrative Officer, Xcel Energy Inc., January 2015 to present. Previously, Senior Vice President, Chief Administrative Officer, Xcel Energy Inc., August 2012 to December 2014; Senior Vice President and Chief Administrative Officer, Xcel Energy Services Inc., September 2011 to August 2012; Vice President and Chief Administrative Officer, Xcel Energy Services Inc., August 2009 to September 2011 and Vice President, Talent and Technology Business Areas, Xcel Energy Services Inc., August 2009 to September 2011.
Timothy O’Connor, 57, Senior Vice President, Chief Nuclear Officer, Xcel Energy Services Inc., February 2013 to present. Previously, Acting Chief Nuclear Officer, NSP-Minnesota, September 2012 to February 2013; Vice President, Engineering and Nuclear Regulatory Compliance and Licensing July 2012 to September 2012; Monticello Site Vice President, May 2007 to July 2012.
Judy M. Poferl, 57, Senior Vice President, Corporate Secretary and Executive Services, Xcel Energy Inc., January 2015 to present. Previously, Vice President, Corporate Secretary, Xcel Energy Inc., May 2013 to December 2014; President, Director and Chief Executive Officer, NSP-Minnesota, August 2009 to May 2013.
Jeffrey S. Savage, 45, Senior Vice President, Controller, Xcel Energy Inc., January 2015 to present. Previously, Vice President, Controller, Xcel Energy Inc., September 2011 to December 2014; Senior Director, Financial Reporting, Corporate and Technical Accounting, Xcel Energy Services Inc., December 2009 to September 2011.
Mark E. Stoering, 56, President and Director, NSP-Wisconsin, January 2015 to present. Previously, President, Director and Chief Executive Officer, NSP-Wisconsin, January 2012 to December 2014; Vice President, Portfolio Strategy and Business Development, Xcel Energy Services Inc., August 2000 to December 2011.
Scott M. Wilensky, 60, Executive Vice President, General Counsel, Xcel Energy Inc., January 2015 to present. Previously, Senior Vice President, General Counsel, Xcel Energy Inc., September 2011 to December 2014; Vice President, Regulatory and Resource Planning, Xcel Energy Services Inc., September 2009 to September 2011.
No family relationships exist between any of the executive officers or directors.
36

